asparagus,plant whose succulent young shoots are cooked and eaten as a vegetable
basil,any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum
pepper,sweet and hot varieties of fruits of plants of the genus Capsicum
broccoli,plant with dense clusters of tight green flower buds
coriander,Old World herb with aromatic leaves and seed resembling parsley
cucumber,a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
eggplant,egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
garlic,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
